case_number,source,source_date_end
23-104584,dv_final_enriched.csv,2025-10-29
23-104883,dv_final_enriched.csv,2025-10-29
23-104997,dv_final_enriched.csv,2025-10-29
23-105023,dv_final_enriched.csv,2025-10-29
23-105825,dv_final_enriched.csv,2025-10-29
23-106062,dv_final_enriched.csv,2025-10-29
23-106095,dv_final_enriched.csv,2025-10-29
23-106264,dv_final_enriched.csv,2025-10-29
23-106509,dv_final_enriched.csv,2025-10-29
23-106794,dv_final_enriched.csv,2025-10-29
23-106849,dv_final_enriched.csv,2025-10-29
23-106886,dv_final_enriched.csv,2025-10-29
23-107009,dv_final_enriched.csv,2025-10-29
23-107301,dv_final_enriched.csv,2025-10-29
23-107643,dv_final_enriched.csv,2025-10-29
23-107694,dv_final_enriched.csv,2025-10-29
23-107716,dv_final_enriched.csv,2025-10-29
23-107961,dv_final_enriched.csv,2025-10-29
23-108535,dv_final_enriched.csv,2025-10-29
23-108569,dv_final_enriched.csv,2025-10-29
23-108610,dv_final_enriched.csv,2025-10-29
23-108648,dv_final_enriched.csv,2025-10-29
23-108687,dv_final_enriched.csv,2025-10-29
23-108981,dv_final_enriched.csv,2025-10-29
23-109287,dv_final_enriched.csv,2025-10-29
23-109481,dv_final_enriched.csv,2025-10-29
23-109556,dv_final_enriched.csv,2025-10-29
23-109896,dv_final_enriched.csv,2025-10-29
23-109921,dv_final_enriched.csv,2025-10-29
23-110145,dv_final_enriched.csv,2025-10-29
23-110164,dv_final_enriched.csv,2025-10-29
23-110280,dv_final_enriched.csv,2025-10-29
23-110917,dv_final_enriched.csv,2025-10-29
23-111298,dv_final_enriched.csv,2025-10-29
23-111670,dv_final_enriched.csv,2025-10-29
23-111900,dv_final_enriched.csv,2025-10-29
23-111910,dv_final_enriched.csv,2025-10-29
23-112101,dv_final_enriched.csv,2025-10-29
23-112298,dv_final_enriched.csv,2025-10-29
23-112613,dv_final_enriched.csv,2025-10-29
23-112679,dv_final_enriched.csv,2025-10-29
23-112702,dv_final_enriched.csv,2025-10-29
23-112978,dv_final_enriched.csv,2025-10-29
23-113003,dv_final_enriched.csv,2025-10-29
24-000226,dv_final_enriched.csv,2025-10-29
24-000402,dv_final_enriched.csv,2025-10-29
24-000578,dv_final_enriched.csv,2025-10-29
24-001342,dv_final_enriched.csv,2025-10-29
24-001753,dv_final_enriched.csv,2025-10-29
24-002953,dv_final_enriched.csv,2025-10-29
24-003164,dv_final_enriched.csv,2025-10-29
24-003194,dv_final_enriched.csv,2025-10-29
24-003276,dv_final_enriched.csv,2025-10-29
24-003763,dv_final_enriched.csv,2025-10-29
24-003938,dv_final_enriched.csv,2025-10-29
24-003963,dv_final_enriched.csv,2025-10-29
24-003995,dv_final_enriched.csv,2025-10-29
24-004033,dv_final_enriched.csv,2025-10-29
24-004344,dv_final_enriched.csv,2025-10-29
24-004774,dv_final_enriched.csv,2025-10-29
24-005106,dv_final_enriched.csv,2025-10-29
24-005173,dv_final_enriched.csv,2025-10-29
24-005505,dv_final_enriched.csv,2025-10-29
24-005653,dv_final_enriched.csv,2025-10-29
24-005672,dv_final_enriched.csv,2025-10-29
24-006040,dv_final_enriched.csv,2025-10-29
24-006194,dv_final_enriched.csv,2025-10-29
24-006582,dv_final_enriched.csv,2025-10-29
24-006625,dv_final_enriched.csv,2025-10-29
24-006652,dv_final_enriched.csv,2025-10-29
24-006724,dv_final_enriched.csv,2025-10-29
24-006785,dv_final_enriched.csv,2025-10-29
24-006895,dv_final_enriched.csv,2025-10-29
24-008313,dv_final_enriched.csv,2025-10-29
24-008391,dv_final_enriched.csv,2025-10-29
24-008403,dv_final_enriched.csv,2025-10-29
24-008579,dv_final_enriched.csv,2025-10-29
24-008863,dv_final_enriched.csv,2025-10-29
24-009002,dv_final_enriched.csv,2025-10-29
24-009112,dv_final_enriched.csv,2025-10-29
24-009186,dv_final_enriched.csv,2025-10-29
24-009440,dv_final_enriched.csv,2025-10-29
24-011331,dv_final_enriched.csv,2025-10-29
24-011392,dv_final_enriched.csv,2025-10-29
24-011818,dv_final_enriched.csv,2025-10-29
24-011844,dv_final_enriched.csv,2025-10-29
24-012136,dv_final_enriched.csv,2025-10-29
24-012189,dv_final_enriched.csv,2025-10-29
24-012520,dv_final_enriched.csv,2025-10-29
24-012650,dv_final_enriched.csv,2025-10-29
24-012812,dv_final_enriched.csv,2025-10-29
24-013033,dv_final_enriched.csv,2025-10-29
24-013081,dv_final_enriched.csv,2025-10-29
24-013250,dv_final_enriched.csv,2025-10-29
24-013327,dv_final_enriched.csv,2025-10-29
24-013343,dv_final_enriched.csv,2025-10-29
24-013628,dv_final_enriched.csv,2025-10-29
24-013651,dv_final_enriched.csv,2025-10-29
24-013862,dv_final_enriched.csv,2025-10-29
24-014263,dv_final_enriched.csv,2025-10-29
24-014517,dv_final_enriched.csv,2025-10-29
24-015245,dv_final_enriched.csv,2025-10-29
24-015501,dv_final_enriched.csv,2025-10-29
24-015619,dv_final_enriched.csv,2025-10-29
24-015785,dv_final_enriched.csv,2025-10-29
24-015801,dv_final_enriched.csv,2025-10-29
24-015979,dv_final_enriched.csv,2025-10-29
24-016431,dv_final_enriched.csv,2025-10-29
24-016571,dv_final_enriched.csv,2025-10-29
24-017174,dv_final_enriched.csv,2025-10-29
24-017344,dv_final_enriched.csv,2025-10-29
24-017553,dv_final_enriched.csv,2025-10-29
24-017621,dv_final_enriched.csv,2025-10-29
24-017801,dv_final_enriched.csv,2025-10-29
24-018205,dv_final_enriched.csv,2025-10-29
24-018228,dv_final_enriched.csv,2025-10-29
24-018375,dv_final_enriched.csv,2025-10-29
24-018436,dv_final_enriched.csv,2025-10-29
24-019098,dv_final_enriched.csv,2025-10-29
24-019126,dv_final_enriched.csv,2025-10-29
24-019192,dv_final_enriched.csv,2025-10-29
24-019206,dv_final_enriched.csv,2025-10-29
24-019396,dv_final_enriched.csv,2025-10-29
24-019477,dv_final_enriched.csv,2025-10-29
24-019529,dv_final_enriched.csv,2025-10-29
24-020031,dv_final_enriched.csv,2025-10-29
24-021239,dv_final_enriched.csv,2025-10-29
24-021406,dv_final_enriched.csv,2025-10-29
24-021482,dv_final_enriched.csv,2025-10-29
24-021509,dv_final_enriched.csv,2025-10-29
24-021778,dv_final_enriched.csv,2025-10-29
24-022032,dv_final_enriched.csv,2025-10-29
24-022150,dv_final_enriched.csv,2025-10-29
24-022452,dv_final_enriched.csv,2025-10-29
24-022627,dv_final_enriched.csv,2025-10-29
24-022765,dv_final_enriched.csv,2025-10-29
24-022822,dv_final_enriched.csv,2025-10-29
